index,name,category
0,Ballad EP,1
1,Clavmann,1
2,Clavmann 2,1
3,Digi Clav,1
4,DX7Classic,1
5,Mtrial Pno,1
6,MtrialPno2,1
7,MtrialPno3,1
8,Real Rose,1
9,Rose Att,1
10,Rose Sft1,1
11,Rose Sft2,1
12,Suit Rose,1
13,Velvt Rose,1
14,4 Op Clav,1
15,Da Comp,2
16,Synth Bell,2
17,Tabla,2
18,B3JazzComp,3
19,B3Perc3rd,3
20,DrawOrgn,3
21,DrawOrgn2,3
22,DrawOrgn3,3
23,Fs-Organ,3
24,Full Drawb,3
25,Ham Organ,3
26,OR-Right,3
27,Organ Fseq,3
28,The Lounge,3
29,Jazz Gtr,4
30,Stratmann,4
31,Acid King,5
32,Ana Bass,5
33,AttackBass,5
34,B-Rave,5
35,Bassline 1,5
36,Bassline 2,5
37,BlegBass,5
38,DidgBass,5
39,Dry Syn,5
40,FM Bass,5
41,FundaBass,5
42,HyperFuzz,5
43,JungleBass,5
44,LoFiAcid,5
45,Matze,5
46,Moon Bass,5
47,Phone Bass,5
48,PlastBass,5
49,PunchBass,5
50,Syn Bass,5
51,Technical,5
52,FairyStrgs,6
53,JMichel,6
54,OB String,6
55,ResoStrgs,6
56,Saws,6
57,SloDu Saws,6
58,SS String,6
59,SS String2,6
60,HitMatrial,7
61,ANSweep,8
62,FS Brass,8
63,Hook,8
64,ObiehornL,8
65,ObiehornR,8
66,Quackz,8
67,Stab,8
68,Swell,8
69,Kuchibue,10
70,Dual Saws2,11
71,DualSquare,11
72,Earth Lead,11
73,Fetish,11
74,Glass Harp,11
75,Glider,11
76,Lead Saw,11
77,Mitosis,11
78,Retronic,11
79,Score Pad,11
80,Tech Lead,11
81,Trance Csm,11
82,Voc Lead,11
83,Add Pad,12
84,Beauty,12
85,Brassetra,12
86,CineSweep,12
87,Fat Pad,12
88,FormantPad,12
89,FormSweep1,12
90,FormSweep2,12
91,FormSweep3,12
92,FormSweep4,12
93,FS Moby II,12
94,Heimdal,12
95,LFO Pad,12
96,Moving,12
97,Nebulous,12
98,OBx Pad,12
99,OBx Pad2,12
100,Octavian,12
101,Paddy,12
102,Qwerty,12
103,Saws&Hold,12
104,Saws2,12
105,SleepyPad,12
106,Spacy Pad,12
107,Starship,12
108,SuperPad,12
109,SweepersVx,12
110,Tech Lead2,12
111,The Seeker,12
112,The Shadow,12
113,Thermal,12
114,VocPhaseA,12
115,Win Pad,12
116,Wind,12
